SP1000,,SALESMAN:,Kiofi Odoru,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,MONDAY,,TUESDAY,,WEDNESDAY,,THURSDAY,,FRIDAY,
113,YESU MEDAWASE,ELIZABETH,,553734462,ADENTA,ASHIYIE,NEAR THE BETHEL LIGHT SCHOOL,NA,,-0.156904598,5.747178591,"0?? 9' 24.857"" W","5?? 44' 49.843"" N",
114,ASHLAND VENTURES,MADAM MERCY,,244279600,ADENTA,ASHIYIE,DIRECTLY OPPOSITE INFIN OIL,ADENTA-DODOWA ROAD,,-0.152756246,5.744435072,"0?? 9' 9.922"" W","5?? 44' 39.966"" N",
115,TSAWO EMMANUEL,MADAM LYDIA,,NA,ADENTA,ASHIYIE,DIRECTLY OPPOSITE INFIN OIL,ADENTA-DODOWA ROAD,,-0.152563509,5.744556425,"0?? 9' 9.229"" W","5?? 44' 40.403"" N",
116,PAY LESS,BROTHER MICHAEL,,246721087,ADENTA,ASHIYIE,NEAR INFIN OIL,ADENTA-DODOWA ROAD,,-0.152520679,5.744727746,"0?? 9' 9.074"" W","5?? 44' 41.020"" N",
117,FOOD LOCKER,MUMMY,,NA,ADENTA,ASHIYIE,NEAR INFIN OIL,ADENTA-DODOWA ROAD,,-0.15264917,5.743849725,"0?? 9' 9.537"" W","5?? 44' 37.859"" N",
118,DIANA`S STORE,SISTER DIANA,,243444481,ADENTA,AMPOMAH,NEAR THE BAGWO HEIGTHS SCHOOL,NA,,-0.170270268,5.745097752,"0?? 10' 12.973"" W","5?? 44' 42.352"" N",
119,OH MY MUM,MADAM DIANA,,243942030,ADENTA,AMPOMAH,NOT FAR FROM BAGWO HEIGHTS SCHOOL,NA,,-0.165730257,5.745140582,"0?? 9' 56.629"" W","5?? 44' 42.506"" N",
120,NYAME YE HENE,MARTHA ADJEIWUDA,,543061730,ADENTA,ASHIYIE,NOT FAR FROM BEIGE CAPITALS,TETTEH AWO ODUMAYE STREET,,-0.153609282,5.743526713,"0?? 9' 12.993"" W","5?? 44' 36.696"" N",
121,MERCY ENTERPRISE,SISTER MERCY,,242616913,ADENTA,FRAFRAHA SUMMER HAT,300METRES TO THE POLICE STATION,NA,,-0.150022404,5.734838627,"0?? 9' 0.081"" W","5?? 44' 5.419"" N",
122,GRACE STORE,MADAM GRACE,,247447723,ADENTA,OYARIFA,ALONG THE OYARIFA-TEIMAN ROAD,OYARIFA-TEIMAN ROAD,,-0.177672754,5.745200513,"0?? 10' 39.622"" W","5?? 44' 42.722"" N",
123,DZIGBORDI STORE,CELESTINE,,248879281,ADENTA,OYARIFA,NOT FAR FROM THE ASSEMBLIES OF GOD,OYARIFA-TEIMAN ROAD,,-0.17874827,5.745738271,"0?? 10' 43.494"" W","5?? 44' 44.658"" N",
124,AWURADE NE ME BOAFO,AUNTY GRACE,,207971623,ADENTA,OYARIFA,DIRECCTLY OPPOSTE THE PENTECOST CHURCH,OYARIFA-TEIMAN ROAD,,-0.179024288,5.746414038,"0?? 10' 44.487"" W","5?? 44' 47.091"" N",
125,ANIDASO WO NYAME MU,MADAM ELIZABETH,,545640284,ADENTA,WAEC,NOT FAR FROM THE WAEC,NA,,-0.185366781,5.730663295,"0?? 11' 7.320"" W","5?? 43' 50.388"" N",
126,HAGGER STORE,HAGGER,,244733362,ADENTA,KUTAM ESTATE,NOT FAR FROM THE KUTAM ESTATE,NA,,-0.180498952,5.740666095,"0?? 10' 49.796"" W","5?? 44' 26.398"" N",
127,ADOM ENTERPRISE,ENYONAM,,244067688,ADENTA,KUTAM ESTATE,NEAR CENTRAL BAPTIST CHURCH,NA,,-0.178295022,5.742379285,"0?? 10' 41.862"" W","5?? 44' 32.565"" N",
128,JANE`S ENTERPRISE,SISTER JANE,,NA,ADENTA,KUTAM ESTATE,NOT FAR FROM THE CENTRAL BAPTIST CHURCH,NA,,-0.177723952,5.739371647,"0?? 10' 39.806"" W","5?? 44' 21.738"" N",
129,JANET`S STORE,JANET ADJEI,,267220550,ADENTA,K.B OYARIFA,NEAR K.B BUS STOP,NA,,-0.175141047,5.734910871,"0?? 10' 30.508"" W","5?? 44' 5.679"" N",
130,YAKOS PHARMACY AND MART,YAKOS,,206900699,ADENTA,OYARIFA,NEAR  AGAPE ACADEMY,HAMILTON ROAD,,-0.174984002,5.734068542,"0?? 10' 29.942"" W","5?? 44' 2.647"" N",
131,HAJIA`S ENTERPRISE,HAJIA SAMATU,,NA,ADENTA,SHALOM ESTATE,NOT FAR FROM SHALOM ESTATE,NA,,-0.178667408,5.726116383,"0?? 10' 43.203"" W","5?? 43' 34.019"" N",
132,GEOMAX,GEOMAX,,244389686,ADENTA,OYARIFA,NEAR OUTLET NUMBER 12,NA,,-0.17963109,5.723873741,"0?? 10' 46.672"" W","5?? 43' 25.945"" N",
133,JESUS IS ALIVE STORE,LAMPTEY,,244660352,ADENTA,SHALOM,NOT FAR FROM THE SHELL FUEL STATION,NA,,-0.17848181,5.721515814,"0?? 10' 42.535"" W","5?? 43' 17.457"" N",
134,FRANKA  SUPER-MARKET,FRANKA,,241913723,ADENTA,PANTANG JUNCTION,NEAR THE SHELL FUEL STATION,NA,,-0.17307389,5.718145903,"0?? 10' 23.066"" W","5?? 43' 5.325"" N",
135,MARY`S STORE,SISTER MARY,,244872881,ADENTA,PANTANG JUNCTION,NEAR ZOE ROYAL HOSPITAL,NA,,-0.174225549,5.714952666,"0?? 10' 27.212"" W","5?? 42' 53.830"" N",
136,LANIO`S STORE,LANIO,,543050723,ADENTA,PANTANG JUNCTION,NEAR KAF INTERNATIONAL SCHOOL,NA,,-0.17294064,5.715880656,"0?? 10' 22.586"" W","5?? 42' 57.170"" N",
137,MAMA GRACE STORE,MAMA GRACE,,NA,ADENTA,PANTANG JUNCTION,NOT FAR FROM KAF INTERNATIONAL SCHOOL,NA,,-0.172769319,5.714610024,"0?? 10' 21.970"" W","5?? 42' 52.596"" N",
138,CHARLOTTE STORE,MADAM CHARLOTTE,,NA,ADENTA,PANTANG JUNCTION,NEAR THE MULBERIES SCHOOL,NA,,-0.174325487,5.713222798,"0?? 10' 27.572"" W","5?? 42' 47.602"" N",
139,DROMO ENTERPRISE,EMELIA  LARYEA,,244472505,ADENTA,NEW SITE,DIRECTLY OPPOSITE MULBERRIES SCHOOL,NA,,-0.174249344,5.712546079,"0?? 10' 27.298"" W","5?? 42' 45.166"" N",
140,ENAM` STORE,ENAM,,276350565,ADENTA,NEW SITE,NEAR THE VICTORIA CHEMIST,NA,,-0.175020289,5.712022598,"0?? 10' 30.073"" W","5?? 42' 43.281"" N",
141,HAPPY`S ENTERPRISE,HAPPY AGBENYO,,543302524,ADENTA,NEW SITE,NOT FAR FROM THE VICTORIA CHEMIST,NA,,-0.176211209,5.71095303,"0?? 10' 34.360"" W","5?? 42' 39.431"" N",
142,PATIENCE STORE,PATIENCE,,246646368,ABOKOBI,ABOKOBI,NEAR THE PENTECOST CHURCH,NA,,-0.19256553,5.730888288,"0?? 11' 33.236"" W","5?? 43' 51.198"" N",
143,MIRACLE SEED ENTERPRISE,MABEL AMANKWA,,243144624,ADENTA,NEW SITE,BESIDE THE MIRACLE SEED,NA,,-0.174978339,5.711042592,"0?? 10' 29.922"" W","5?? 42' 39.753"" N",
144,SALOMEY`S ENTERPRISE,SALOMEY FEGLO,,207038016,ADENTA,NEW SITE,NOT FAR FROM THE MEDI-MOSES PROSTATE CENTRE,NA,,-0.176893805,5.711066386,"0?? 10' 36.818"" W","5?? 42' 39.839"" N",
145,AWURADE ADOM STORE,AWURADE ADOM,,247789482,ADENTA,NEW SITE,BESIDE WASS,NA,,-0.176451225,5.706891622,"0?? 10' 35.224"" W","5?? 42' 24.810"" N",
146,OBAA BEE ENTERPRISE,OBAA BEE OBAA BEE ENTERPRISE,,544210736,ADENTA,NEW SITE,BESIDE WASS,NA,,-0.174695183,5.707698259,"0?? 10' 28.903"" W","5?? 42' 27.714"" N",
147,GLORIA`S STORE,SISTER GLORIA,,547326382,ADENTA,NEW SITE,NEAR THE MIRACLE SEED,NA,,-0.175692177,5.710804646,"0?? 10' 32.492"" W","5?? 42' 38.897"" N",
148,GRACE STORE,MADAM GRACE,,NA,ADENTA,NEW SITE,NOT FAR FROM THE MEDI-MOSES PROSTATE CENTRE,NA,,-0.174538139,5.710590494,"0?? 10' 28.337"" W","5?? 42' 38.126"" N",
149,DA YESU ASE ENTERPRISE,THERISAH OFORI,,243911602,ADENTA,NEW SITE,BESIDE WASS,NA,,-0.174062246,5.709198509,"0?? 10' 26.624"" W","5?? 42' 33.115"" N",
150,ALISS ENTERPRISE,AUNTY ALLIS,,NA,ADENTA,NEW SITE,NEAR WASS,NA,,-0.17550182,5.710447726,"0?? 10' 31.807"" W","5?? 42' 37.612"" N",
151,JULIANA`S STORE,JULIANA,,248949998,ADENTA,NEW SITE,BESIDE WASS,NA,,-0.17430971,5.707841027,"0?? 10' 27.515"" W","5?? 42' 28.228"" N",
152,IT`S WELL ENTERPRISE,MRS. PORTIA,,244846288,ADENTA,AMRAHIA,NEAR THE TAXI RANK AMRAHIA,AMRAHIA-OTINIBI ROAD,,-0.141806392,5.769099963,"0?? 8' 30.503"" W","5?? 46' 8.760"" N",
153,GOD IS GRACIOUS,JOANA ODOI,,578755402,ADENTA,AMRAHIA,NEAR THE TAXI RANK AMRAHIA,AMRAHIA-OTINIBI ROAD,,-0.142149034,5.769252248,"0?? 8' 31.737"" W","5?? 46' 9.308"" N",
154,HOUSE OF PRIZE ENTERPRISE,SALAMATY MUSAH,,243680634,ADENTA,AMRAHIA,CLOSE TO THE AMRAHIA JUNCTION,ADENTA-DODOWA ROAD,,-0.142391739,5.767334403,"0?? 8' 32.610"" W","5?? 46' 2.404"" N",
155,JOANDUS ENTERPRISE,JOANDUS,,202207911,ADENTA,AMRAHIA,CLOSE TO THE AMRAHIA JUNCTION,ADENTA-DODOWA ROAD,,-0.142534507,5.76694893,"0?? 8' 33.124"" W","5?? 46' 1.016"" N",
156,THANK YOU JESUS,JANET MENSAH,,243041082,ADENTA,S.D.A,NEAR THE MOSQUE,KWENANG AVENUE,,-0.172508577,5.699836233,"0?? 10' 21.031"" W","5?? 41' 59.410"" N",
157,SEL MAT,SELMAT,,NA,ADENTA,RITZ,DIRECTLY OPPOSITE SPRING BOARD COLLEGE,NA,,-0.173139848,5.687731676,"0?? 10' 23.303"" W","5?? 41' 15.834"" N",
158,PARADISE INN SUPER MARKET,MADAM CHRISTI,,247352225,ABOKOBI,E.P DOWN,NOT FAR FROM BLESSED STAR ACADEMY,NA,,-0.199815748,5.706302269,"0?? 11' 59.337"" W","5?? 42' 22.688"" N",
159,SHAKINA  ENTERPRISE,SISTER SHAKINA,,NA,ABOKOBI,E.P DOWN,DIRECTLY OPPOSITE BLESSED ACADEMY,NA,,-0.197388698,5.699780166,"0?? 11' 50.599"" W","5?? 41' 59.209"" N",
160,VICTORIA`S SHOP,MADAM VICTORIA,,240784300,ADENTA,NORTH LEGON,NEAR NORTH LEGON SCHOOL COMPLEX,NA,,-0.198185817,5.695594219,"0?? 11' 53.469"" W","5?? 41' 44.139"" N",
161,SHOP -RITE,VICTORIA,,277756518,ADENTA,NORTH LEGON,NOT FAR FROM NORTH LEGON SCHOOL COMPLEX,NA,,-0.199827645,5.694554394,"0?? 11' 59.380"" W","5?? 41' 40.396"" N",
162,FATIMATU STORE,FATIMATU,,554411682,ADENTA,NORTH LEGON,NOT FAR FROM NORTH LEGON SCHOOL COMPLEX,NA,,-0.199613494,5.696921958,"0?? 11' 58.609"" W","5?? 41' 48.919"" N",
163,ELIZABETH'S STORE,ELIZABETH ASHIAGBOR,,543030232,NEW ADENTA,ABENWOHA,,NA,,-0.145077004,5.694912062,"0?? 8' 42.277"" W","5?? 41' 41.683"" N",
164,DORA SHOP,DORA BOATEMAA,,274747650,NEW ADENTA,ABENWOHA,,NA,,-0.144437405,5.69032922,"0?? 8' 39.975"" W","5?? 41' 25.185"" N",
165,H&M SUPERMARKET,JOSHUA,,266000104,HOUSING DOWN,LAKESIDE ESTATE,,NA,,-0.147670837,5.70114786,"0?? 8' 51.615"" W","5?? 42' 4.132"" N",
166,SWEET MOTHER ENTERPRISE,DORA QUARCO,,541216664,HOUSING DOWN,LAKESIDE ESTATE,,NA,,-0.146796338,5.702884676,"0?? 8' 48.467"" W","5?? 42' 10.385"" N",
167,DOREEN MART,IRENE,,265735225,HOUSING DOWN,LAKESIDE ESTATE,,AYEBENG AVENUE,,-0.147606116,5.701736063,"0?? 8' 51.382"" W","5?? 42' 6.250"" N",
168,ESTHER'S STORE,ESTHER,,NA,HOUSING DOWN,LAKESIDE ESTATE,,CASHEW AVENUE,,-0.142467662,5.706269856,"0?? 8' 32.884"" W","5?? 42' 22.571"" N",
169,BRINNEL'S.COM,LOUISA NELSON,,244757719,HOUSING DOWN,LAKESIDE ESTATE,,NA,,-0.147523541,5.706151835,"0?? 8' 51.085"" W","5?? 42' 22.147"" N",
170,RED ROSES SUPERMARKET,PRISCILLA,,508320333,HOUSING DOWN,LAKESIDE ESTATE,,NA,,-0.148980723,5.705366613,"0?? 8' 56.331"" W","5?? 42' 19.320"" N",
171,ATTA SHOP,SISTER ATTA,,275846713,HOUSING DOWN,LAKESIDE ESTATE,,NA,,-0.150012457,5.705549355,"0?? 9' 0.045"" W","5?? 42' 19.978"" N",
172,GOD'S PROVIDENCE ENTERPRISE,FRANCIS,,576270775,HOUSING DOWN,ADENTA MALL,,SAPELE,,-0.146984831,5.707657558,"0?? 8' 49.145"" W","5?? 42' 27.567"" N",
173,AMA'S STORE,AUNTIE AMA,,276608506,HOUSING DOWN,ADENTA MALL,,NA,,-0.144520899,5.709494264,"0?? 8' 40.275"" W","5?? 42' 34.179"" N",
174,A&S MART,ASURA,,240750913,NEW LEGON,AKATAMANSO,,NA,,-0.144071657,5.711701452,"0?? 8' 38.658"" W","5?? 42' 42.125"" N",
175,GOD'S GRACE,SOPHIA YEREKE,,272569535,NEW LEGON,AKATAMANSO,,NA,,-0.142343216,5.711948916,"0?? 8' 32.436"" W","5?? 42' 43.016"" N",
176,ROSE SHOP,MADAM ROSE,,243668138,NEW LEGON,THE BASE,,NA,,-0.142342264,5.713888652,"0?? 8' 32.432"" W","5?? 42' 49.999"" N",
177,SARAH SHOP,SARAH ANYAKO,,248685383,NEW LEGON,THE BASE,,NA,,-0.136938032,5.713582178,"0?? 8' 12.977"" W","5?? 42' 48.896"" N",
178,STELLA VENTURES,STELLA OBENG,,273430215,NEW LEGON,OBOLO CURVE,,NA,,-0.13351256,5.712825509,"0?? 8' 0.645"" W","5?? 42' 46.172"" N",
179,ABENA'S STORE,ABENA ASIEDUA,,274116217,NEW LEGON,LAKE SIDE ESTATE,,NA,,-0.13161375,5.713753499,"0?? 7' 53.810"" W","5?? 42' 49.513"" N",
180,SASU NYAME NTI,THERESAH ANTWI,,556376019,NEW LEGON,LAKE SIDE ESTATE,,NA,,-0.134346323,5.716966723,"0?? 8' 3.647"" W","5?? 43' 1.080"" N",
181,MRS KORANKYE SHOP,MRS KORANKYE,,243206026,NEW LEGON,ASORE JUNCTION,,NII YEMOH ADOTSI,,-0.130356443,5.721394424,"0?? 7' 49.283"" W","5?? 43' 17.020"" N",
182,MEDIMAFO TEASE,ABIGAILOFFORI ATTAH,,270344848,NEW LEGON,ASORE JUNCTION,,NA,,-0.134745121,5.720587311,"0?? 8' 5.082"" W","5?? 43' 14.114"" N",
183,FELICIA'S SHOP,FELICIA,,277105070,NEW LEGON,ASORE JUNCTION,,NA,,-0.135335227,5.721158382,"0?? 8' 7.207"" W","5?? 43' 16.170"" N",
184,GONAQ,AMELIA,,246640022,NEW LEGON,THE BASE,,NII ANYM YEMOH ARENCE,,-0.125961579,5.712946108,"0?? 7' 33.462"" W","5?? 42' 46.606"" N",
185,AGNES SHOP,AGNES TETTEH,,206457825,MADINA,NSAMANPOM,OPPOSITE ECHOING HILLS VILLAGE,NA,,-0.153427443,5.67575104,"0?? 9' 12.339"" W","5?? 40' 32.704"" N",
186,AKOSARK ENTERPRISE,ELIZABETH AKOTO,,275141952,MADINA,NSAMANPOM,,NA,,-0.153259929,5.676261196,"0?? 9' 11.736"" W","5?? 40' 34.540"" N",
187,NYAME NA HENE,SISTER AMA,,544927349,MADINA,NSAMANPOM,,NA,,-0.152357638,5.679386856,"0?? 9' 8.487"" W","5?? 40' 45.793"" N",
188,ADOM STORE,BERTHA,,NA,MADINA,NSAMANPOM,,NA,,-0.154699027,5.680588008,"0?? 9' 16.916"" W","5?? 40' 50.117"" N",
189,MERCIFUL GOD,AUNTY NEE,,243993041,MADINA,NSAMANPOM,BEHIND THE FOOTBALL FIELD,NA,,-0.15544713,5.680506155,"0?? 9' 19.610"" W","5?? 40' 49.822"" N",
190,HAJIA SHOP,HAJIA,,243524773,MADINA,SOCIAL WELFARE,,NA,,-0.158731674,5.679150814,"0?? 9' 31.434"" W","5?? 40' 44.943"" N",
191,ZENABU ENTERPRISE,ZENABU,,200524906,MADINA,SOCIAL WELFARE,OPPOSITE SOCIAL WELFARE SCHOOL,NA,,-0.159021017,5.677833544,"0?? 9' 32.476"" W","5?? 40' 40.201"" N",
192,OKABERT VENTURES,NA,,244570890,MADINA,SOCIAL WELFARE,OPPOSITE THE MOSQUE,HAWA AVENUE,,-0.160350977,5.678168572,"0?? 9' 37.264"" W","5?? 40' 41.407"" N",
193,ERICA ENTERPRISE,SISTER AMA,,277363781,MADINA,SOCIAL WELFARE,,HAWA AVENUE,,-0.160762148,5.678354488,"0?? 9' 38.744"" W","5?? 40' 42.076"" N",
194,KABIFORA VENTURES,KABITARA,,276255935,MADINA,SOCIAL WELFARE,,HAWA AVENUE,,-0.16075263,5.678744719,"0?? 9' 38.709"" W","5?? 40' 43.481"" N",
195,AUNTY MANSA,AUNTY MANSA,,247018977,MADINA,SOCIAL WELFARE,,HAWA AVENUE,,-0.16075263,5.679077844,"0?? 9' 38.709"" W","5?? 40' 44.680"" N",
196,HELENA'S SHOP,HELENA AGUDDEY,,244466465,MADINA,MASALACHI,,HAWA AVENUE,,-0.16037382,5.680061989,"0?? 9' 37.346"" W","5?? 40' 48.223"" N",
197,CRYSTAL SUN ENTERPRISE,NA,,242728062,MADINA,MASALACHI,,HAWA AVENUE,,-0.160389048,5.680214274,"0?? 9' 37.401"" W","5?? 40' 48.771"" N",
198,HWE DIE EWURADE AYE,HANNAH OFOSNA,,244796676,MADINA,MASALACHI,,HAWA AVENUE,,-0.160735498,5.680351331,"0?? 9' 38.648"" W","5?? 40' 49.265"" N",
199,ZUNDIS VENTURES,SHERIFA,,244885891,MADINA,MASALACHI,,NA,,-0.160421409,5.683022673,"0?? 9' 37.517"" W","5?? 40' 58.882"" N",
200,VIVIAN'S STORE,VIVIAN NKUM,,245064221,MADINA,MAYE HOT JUNCTION,,NA,,-0.160731691,5.683388158,"0?? 9' 38.634"" W","5?? 41' 0.197"" N",
201,JENN'S VENTURES,JENNIFER,,540553186,MADINA,MAYE HOT JUNCTION,,NA,,-0.160897301,5.683656561,"0?? 9' 39.230"" W","5?? 41' 1.164"" N",
202,LEAN ON HIM ANNOITED STORE,MARGARET,,543168848,MADINA,MAYE HOT JUNCTION,,NA,,-0.160229149,5.683707958,"0?? 9' 36.825"" W","5?? 41' 1.349"" N",
203,NYAME WO MU,TINA,,243917640,MADINA,MAYE HOT,ADJACENT PRILWAY SPECIALIST CLINC,NA,,-0.15754004,5.685930691,"0?? 9' 27.144"" W","5?? 41' 9.350"" N",
204,EVERYDAY SUPERMARKET,ANNETTE,,202846935,MADINA,MAYE HOT,ADJACENT HERFA-TECH IT SOLUTIONS,NA,,-0.158282432,5.685942113,"0?? 9' 29.817"" W","5?? 41' 9.392"" N",
205,ZEKIYA,ZEKIYA,,262891785,MADINA,RITZ,,NA,,-0.165696833,5.686551255,"0?? 9' 56.509"" W","5?? 41' 11.585"" N",
206,IN GOD IN WE TRUST,JOYCE MAWUDZO,,275507523,MADINA,DOKU,,NA,,-0.164897334,5.683147674,"0?? 9' 53.630"" W","5?? 40' 59.332"" N",
207,PARAGON,REBECCA FORSON,,244435168,MADINA,DOKU,,NA,,-0.164212049,5.683128638,"0?? 9' 51.163"" W","5?? 40' 59.263"" N",
208,NOVBETA,NOVBETA,,503237840,MADINA,DOKU,,NA,,-0.16586054,5.682060736,"0?? 9' 57.098"" W","5?? 40' 55.419"" N",
209,SERVANUS GBOGLAH,SERVANUS GBOGLAH,,NA,MADINA,DOKU,,NA,,-0.165548354,5.682022665,"0?? 9' 55.974"" W","5?? 40' 55.282"" N",
210,ASIBA,ASIBA,,NA,MADINA,DOKU,,NA,,-0.165285662,5.681207937,"0?? 9' 55.028"" W","5?? 40' 52.349"" N",
211,CASH AND CARRY ENTERPRISE,KATE KORANTENG,,240473828,MADINA,TAXI RANK,,NA,,-0.165798483,5.67803583,"0?? 9' 56.875"" W","5?? 40' 40.929"" N",
212,FAUNAK,FAUSTINA NELSON,,244962272,MADINA,TAXI RANK,OPPOSITE WWBG,NA,,-0.165638583,5.677990145,"0?? 9' 56.299"" W","5?? 40' 40.765"" N",
213,ADAMA,ADAMA,,NA,MADINA,TAXI RANK,,NA,,-0.164892004,5.679008554,"0?? 9' 53.611"" W","5?? 40' 44.431"" N",
214,ADIZA'S SHOP,AUNTY ADIZA,,NA,MADINA,TAXI RANK,,NA,,-0.164482736,5.679322643,"0?? 9' 52.138"" W","5?? 40' 45.562"" N",
215,NYAME BEKYERE,NYAME BEKYERE,,540904780,MADINA,TAXI RANK,,NA,,-0.162843764,5.679295993,"0?? 9' 46.238"" W","5?? 40' 45.466"" N",
216,MUNTAKA ENTERPRISE,ATIKAL MOHAMMED,,278128133,MADINA,YELLOW SIGNBOARD DOWN,,NA,,-0.162038935,5.680331534,"0?? 9' 43.340"" W","5?? 40' 49.194"" N",
217,GOD IS GREAT,HAPPY,,554487801,MADINA,YELLOW SIGNBOARD DOWN,,NA,,-0.162084621,5.680757934,"0?? 9' 43.505"" W","5?? 40' 50.729"" N",
218,THY WILL BE DONE,AUNTY SERWAA,,249676726,MADINA,SOCIAL WELFARE,NOT FAR FROM THE MOSQUE,NA,,-0.161334614,5.67667573,"0?? 9' 40.805"" W","5?? 40' 36.033"" N",
219,STEP BY STEP ENTERPRISE,FATI SULE,,NA,MADINA,SOCIAL WELFARE,NOT FAR FROM THE MOSQUE,NA,,-0.160240062,5.675885749,"0?? 9' 36.864"" W","5?? 40' 33.189"" N",
220,ISAIAH PROVISION,MISPAH,,244042828,MADINA,NO.1,,NA,,-0.162030686,5.674951097,"0?? 9' 43.310"" W","5?? 40' 29.824"" N",
221,HAJIA BASIRA ENTERPRISE,HAJIA BASIRA,,244691280,MADINA,NO 1,,NA,,-0.162030686,5.674608455,"0?? 9' 43.310"" W","5?? 40' 28.590"" N",
222,PEARL SHOP,PEARL,,244851112,MADINA,NO 1,,NA,,-0.16203259,5.673402544,"0?? 9' 43.317"" W","5?? 40' 24.249"" N",
223,ADOM ARA KWA,MARGARET,,247188646,MADINA,NO 1,,NA,,-0.16302492,5.674621399,"0?? 9' 46.890"" W","5?? 40' 28.637"" N",
224,JOHN'S STORE,JOHN AFETEY,,206677780,MADINA,NO 1,,NA,,-0.164168965,5.67452622,"0?? 9' 51.008"" W","5?? 40' 28.294"" N",
225,ADUEMA'S SHOP,ADUEMA,,242992997,MADINA,NO 1,,NA,,-0.164180386,5.674446271,"0?? 9' 51.049"" W","5?? 40' 28.007"" N",
226,AUGUSTINA'S SHOP,AUGUSTINA BOYE,,246551322,MADINA,QUEEN OF PEACE,OPPOSITE QUEEN OF PEACE CATHOLIC CHURCH,NA,,-0.164750505,5.67535808,"0?? 9' 53.102"" W","5?? 40' 31.289"" N",
227,NYAME ADOM,SISTER  AKOS,,540551110,MADINA,QUEEN OF PEACE,OPPOSITE QUEEN OF PEACE CATHOLIC CHURCH,NA,,-0.166018282,5.673433572,"0?? 9' 57.666"" W","5?? 40' 24.361"" N",
228,ANATINA ENTERPRISE,ANATINA,,271472987,MADINA,NEW ROAD,,NA,,-0.164883755,5.671295864,"0?? 9' 53.582"" W","5?? 40' 16.665"" N",
229,3M SMILE ENTERPRISE,DOROTHY MANU,,NA,MADINA,NEW ROAD,,NA,,-0.165234012,5.672201963,"0?? 9' 54.842"" W","5?? 40' 19.927"" N",
230,BAG SAVE SUPERMARKET,TRISH AKO,,543993690,MADINA,ESTATE,,NA,,-0.160258337,5.669944711,"0?? 9' 36.930"" W","5?? 40' 11.801"" N",
231,GOD FIRST ENTERPRISE,MAA DORIS,,243189606,MADINA,ESTATE,,NA,,-0.15980148,5.670401568,"0?? 9' 35.285"" W","5?? 40' 13.446"" N",
232,HELINA'S SHOP,HELINA ADU,,279977346,MADINA,ESTATE,,NA,,-0.160840829,5.669967554,"0?? 9' 39.027"" W","5?? 40' 11.883"" N",
233,ANATINA ENTERPRISE,ANATINA,,246505199,MADINA,ESTATE,,NA,,-0.160829407,5.670401568,"0?? 9' 38.986"" W","5?? 40' 13.446"" N",
234,CARDINAL ENTERPRISE,FAUSTINA BOATENG,,208219838,MADINA,RARLING CIRCLE,OPPOSITE KOMIDA PHARMANCY,NA,,-0.166593414,5.667974835,"0?? 9' 59.736"" W","5?? 40' 4.709"" N",
235,REMEMBER ME,REMEMBER,,243014878,MADINA,RARLING CIRCLE,OPPOSITE MADINA POLY CLINIC,NA,,-0.167657128,5.667974835,"0?? 10' 3.566"" W","5?? 40' 4.709"" N",
236,FRED'S STORE,FRED,,271401701,MADINA,QUEEN OF PEACE,OPPOSITE COMMUNITY BIBLE CHURCH,NA,,-0.167609539,5.66909794,"0?? 10' 3.394"" W","5?? 40' 8.753"" N",
237,SUCCESS ENTERPRISE,SUCCESS,,549109767,MADINA,HANNAH,,NA,,-0.170236464,5.671147449,"0?? 10' 12.851"" W","5?? 40' 16.131"" N",
238,LINDA'S STORE,AUNTY LINDA,,208175176,MADINA,ABONSAM STREET,NOT FAR FROM THE MOSQUE,NA,,-0.168288161,5.674517718,"0?? 10' 5.837"" W","5?? 40' 28.264"" N",
239,FOSAH'S SHOP,FOSAH ANTWIWAA,,249477590,MADINA,REDCO,,NA,,-0.174811691,5.682547923,"0?? 10' 29.322"" W","5?? 40' 57.173"" N",
240,THE BLOOD OF JESUS ENTERPRISE,BABARA,,247944856,MADINA,REDCO,,NA,,-0.175340883,5.682544116,"0?? 10' 31.227"" W","5?? 40' 57.159"" N",
241,BEATRICE SHOP,BEATRICE,,242261366,MADINA,WAREHOUSE,,NA,,-0.174941134,5.684268749,"0?? 10' 29.788"" W","5?? 41' 3.367"" N",
242,ELIZABETH SHOP,ELIZABETH BANSEY,,540895549,MADINA,WAREHOUSE,,NA,,-0.178279994,5.684268749,"0?? 10' 41.808"" W","5?? 41' 3.367"" N",
243,ADOM ENTERPRISE,MERCY,,246203482,MADINA,REDCO,,NA,,-0.177731766,5.681717967,"0?? 10' 39.834"" W","5?? 40' 54.185"" N",
244,RHZZY ENTERPRISE,LETICIA ASIEDU,,208463256,MADINA,REDCO,,NA,,-0.178724477,5.681724629,"0?? 10' 43.408"" W","5?? 40' 54.209"" N",
245,TRUST IN GOD,GIFTY FORSON,,200863701,MADINA,UPS AYELE,,NA,,-0.164361479,5.659816456,"0?? 9' 51.701"" W","5?? 39' 35.339"" N",
246,JOYCE ENTERPRISE,JOYCE DEKA,,242963331,MADINA,ESTATE,,NA,,-0.164089269,5.660050595,"0?? 9' 50.721"" W","5?? 39' 36.182"" N",
247,FLORENCE ENTERPRISE,AUNTY FLORENCE,,NA,MADINA,UPS AYELE,,NA,,-0.164051197,5.660720651,"0?? 9' 50.584"" W","5?? 39' 38.594"" N",
